ID;Nr;Messtag;Name;Fahrbahn;Belag;Manoever;Geschwindigkeit;Fahrzeug;Reifen;Reifendruck;Witterung;Stoerung;Mikrofon;Position
270;132;2;Rollen Getriebeschalter neutral nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
271;132;2;Rollen Getriebeschalter neutral nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
272;133;2;Rolen Motor aus nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
273;133;2;Rolen Motor aus nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
274;134;2;Teilbremsung Asphalt nass;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
275;134;2;Teilbremsung Asphalt nass;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
276;135;2;Teilbremsung Blaubasalt nass;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
277;135;2;Teilbremsung Blaubasalt nass;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
278;136;2;Vollbremsung Asphalt nass;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
279;136;2;Vollbremsung Asphalt nass;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
280;137;2;Vollbremsung Blaubasalt nass;Oval;Blaubasalt;Vollbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
281;137;2;Vollbremsung Blaubasalt nass;Oval;Blaubasalt;Vollbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
282;138;2;Teilbremsung Beton nass;Oval;Beton;Teillastbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
283;138;2;Teilbremsung Beton nass;Oval;Beton;Teillastbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
284;139;2;Vollbremsung Beton nass;Oval;Beton;Vollbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
285;139;2;Vollbremsung Beton nass;Oval;Beton;Vollbremsung;80 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
286;140;2;Vollbremsung Stahl nass;Oval;Stahlbahn;Vollbremsung;40 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
287;140;2;Vollbremsung Stahl nass;Oval;Stahlbahn;Vollbremsung;40 - 0 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
288;141;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
289;141;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
290;142;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
291;142;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
292;143;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
293;143;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
294;144;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
295;144;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
296;145;2;Freie Fahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;x km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
297;145;2;Freie Fahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;x km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
298;146;2;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;XYZ;8 bar;nass;keine;PCB - Kein;1
299;146;2;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;XYZ;8 bar;nass;keine;PCB - Kein;2
300;147;2;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;XYZ;8 bar;nass;keine;PCB - Kein;1
301;147;2;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;XYZ;8 bar;nass;keine;PCB - Kein;2
302;148;2;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;40 km/h;W75;XYZ;8 bar;nass;keine;PCB - Kein;1
303;148;2;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;40 km/h;W75;XYZ;8 bar;nass;keine;PCB - Kein;2
304;149;2;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;30 km/h;W75;XYZ;8 bar;nass;keine;PCB - Kein;1
305;149;2;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;30 km/h;W75;XYZ;8 bar;nass;keine;PCB - Kein;2
306;150;2;Freie Fahrt mit Fremdkoerper im Reifen;Fahrdynamikflaeche;Asphalt;Konstantfahrt;x km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
307;150;2;Freie Fahrt mit Fremdkoerper im Reifen;Fahrdynamikflaeche;Asphalt;Konstantfahrt;x km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
308;150;2;Freie Fahrt mit Fremdkoerper im Reifen;Fahrdynamikflaeche;Asphalt;Konstantfahrt;x km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
309;150;2;Freie Fahrt mit Fremdkoerper im Reifen;Fahrdynamikflaeche;Asphalt;Konstantfahrt;x km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
310;151;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Michelin;9 bar;nass;keine;PCB - Kein;1
311;151;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Michelin;9 bar;nass;keine;PCB - Kein;2
312;152;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Michelin;9 bar;nass;keine;PCB - Kein;1
313;152;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Michelin;9 bar;nass;keine;PCB - Kein;2
314;153;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Michelin;9 bar;nass;keine;PCB - Kein;1
315;153;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Michelin;9 bar;nass;keine;PCB - Kein;2
316;154;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Michelin;6 bar;nass;keine;PCB - Kein;1
317;154;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Michelin;6 bar;nass;keine;PCB - Kein;2
318;155;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Michelin;6 bar;nass;keine;PCB - Kein;1
319;155;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Michelin;6 bar;nass;keine;PCB - Kein;2
320;156;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Michelin;6 bar;nass;keine;PCB - Kein;1
321;156;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Michelin;6 bar;nass;keine;PCB - Kein;2
322;157;3;Stillstand Motor aus;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
323;157;3;Stillstand Motor aus;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
324;158;3;Stillstand Leerlauf;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
325;158;3;Stillstand Leerlauf;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
326;159;3;Stillstand Drehzahlerhoehung;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;CAN aus;PCB - Puschel;1
327;159;3;Stillstand Drehzahlerhoehung;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;CAN aus;PCB - Puschel;2
328;160;3;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
329;160;3;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
